xxxx	xxxx	Part	Status	PDF	Comment	#N/A						SE	SE_URL
12497		12497	Found	C:\tools\rohs-automation\output_files\delock\12497_EU_conform-6c.pdf		http://download.siliconexpert.com/pdfs2/2023/5/9/15/58/10/965651/deloc_/auto/12497_eu_conform-6c.pdf	6.c					85511	http://download.siliconexpert.com/pdfs2/2022/4/18/8/35/15/346675/deloc_/auto/85511_eu_conform.pdf
88917		88917	NotFound		Product Tab Not found	#N/A						85016	http://download.siliconexpert.com/pdfs2/2023/5/9/8/35/54/128691/deloc_/auto/85016_eu_conform.pdf
62793		62793	NotFound		PartNumber Not Found	#N/A						86825	http://download.siliconexpert.com/pdfs2/2024/11/11/18/46/17/383805/deloc_/auto/86825_eu_conform.pdf
12672		12672	NotFound		PartNumber Not Found	#N/A						80854	http://download.siliconexpert.com/pdfs2/2024/10/26/3/15/44/766178/deloc_/manual/80854_eu_conform.pdf
12673		12673	NotFound		PartNumber Not Found	#N/A						88212	http://download.siliconexpert.com/pdfs2/2023/5/9/8/58/33/759499/deloc_/auto/88212_eu_conform.pdf
62748		62748	Found	C:\tools\rohs-automation\output_files\delock\62748_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2023/5/9/8/12/22/153648/deloc_/auto/62748_eu_conform.pdf	No					87009	http://download.siliconexpert.com/pdfs2/2022/4/18/9/18/15/837340/deloc_/auto/87009_eu_conform.pdf
65474		65474	Found	C:\tools\rohs-automation\output_files\delock\65474_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2023/5/9/8/9/39/933102/deloc_/auto/65474_eu_conform.pdf	No					87042	http://download.siliconexpert.com/pdfs2/2022/4/18/8/15/11/157750/deloc_/auto/87042_eu_conform.pdf
85645		85645	Found	C:\tools\rohs-automation\output_files\delock\85645_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2022/4/18/8/10/36/794385/deloc_/auto/85645_eu_conform.pdf	No					87893	http://download.siliconexpert.com/pdfs2/2023/8/21/0/50/22/274536/deloc_/auto/87893_eu_conform.pdf
83410		83410	Found	C:\tools\rohs-automation\output_files\delock\83410_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2022/1/4/7/22/20/755422/deloc_/auto/83410_eu_conform.pdf	No					88340	http://download.siliconexpert.com/pdfs2/2022/4/18/8/40/43/720458/deloc_/auto/88340_eu_conform-6c.pdf
65328		65328	NotFound		PartNumber Not Found	#N/A						85850	http://download.siliconexpert.com/pdfs2/2022/1/4/7/24/18/832511/deloc_/auto/85850_eu_conform.pdf
89858		89858	NotFound		PartNumber Not Found	#N/A						88417	http://download.siliconexpert.com/pdfs2/2022/1/4/7/15/36/335266/deloc_/auto/88417_eu_conform.pdf
63326		63326	Found	C:\tools\rohs-automation\output_files\delock\63326_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2024/3/30/16/40/38/230833/deloc_/auto/63326_eu_conform.pdf	No					89004	http://download.siliconexpert.com/pdfs2/2022/4/18/21/22/2/178840/deloc_/auto/89004_eu_conform.pdf
65269		65269	Found	C:\tools\rohs-automation\output_files\delock\65269_EU_conform-6c.pdf		http://download.siliconexpert.com/pdfs2/2022/1/4/7/21/0/359485/deloc_/auto/65269_eu_conform-6c.pdf	6.c					89014	http://download.siliconexpert.com/pdfs2/2023/5/10/12/25/24/184190/deloc_/auto/89014_eu_conform-6c.pdf
65012		65012	Found	C:\tools\rohs-automation\output_files\delock\65012_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2022/1/4/7/18/41/746479/deloc_/auto/65012_eu_conform.pdf	No					89612	http://download.siliconexpert.com/pdfs2/2023/5/10/15/6/54/598410/deloc_/auto/89612_eu_conform-6c.pdf
65471		65471	NotFound		Product Tab Not found	#N/A						89013	http://download.siliconexpert.com/pdfs2/2022/4/18/21/24/9/528731/deloc_/auto/89013_eu_conform.pdf
62499		62499	Found	C:\tools\rohs-automation\output_files\delock\62499_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2023/3/26/18/32/50/16271/deloc_/auto/62499_eu_conform.pdf	No					89690	http://download.siliconexpert.com/pdfs2/2022/1/4/7/38/53/654849/deloc_/auto/89690_eu_conform.pdf
